epoch,step,train_IoU,train_loss,valid_IoU,valid_loss
0,49,1.2148159839853179e-05,0.9999914765357971,,
0,88,,,4.8891938604356255e-06,0.9999940991401672
1,99,0.0,0.9999961256980896,,
1,149,0.0,0.9999973177909851,,
1,177,,,4.804348463949282e-06,0.9999935030937195
2,199,1.9818171494989656e-05,0.9999901652336121,,
2,249,9.168592441710643e-06,0.9999920129776001,,
2,266,,,8.610522854723968e-06,0.999993085861206
3,299,1.0275696695316583e-05,0.9999934434890747,,
3,349,0.0,0.9999964237213135,,
3,355,,,6.620031399506843e-06,0.9999932646751404
4,399,1.0755116818472743e-05,0.9999878406524658,,
4,444,,,7.077857844706159e-06,0.9999933838844299
5,449,1.433815123164095e-05,0.9999875426292419,,
5,499,0.0,0.9999951720237732,,
5,533,,,5.28853843206889e-06,0.9999931454658508
6,549,1.1023292245226912e-05,0.9999890327453613,,
6,599,9.9860199043178e-06,0.9999850988388062,,
6,622,,,5.138255801284686e-06,0.999993085861206
7,649,1.090857585950289e-05,0.9999920725822449,,
7,699,9.658476301410701e-06,0.9999908804893494,,
7,711,,,6.873855454614386e-06,0.9999933838844299
8,749,2.042846244876273e-05,0.9999901056289673,,
8,799,9.73321311903419e-06,0.9999942183494568,,
8,800,,,7.58922215027269e-06,0.9999925494194031
9,849,2.1994099370203912e-05,0.9999841451644897,,
9,889,,,5.642336418532068e-06,0.9999935030937195
10,899,1.0160743840970099e-05,0.999993622303009,,
10,949,1.972097743418999e-05,0.9999894499778748,,
10,978,,,5.69650910620112e-06,0.9999932646751404
11,999,0.0,0.9999969005584717,,
11,1049,0.0,0.9999930262565613,,
11,1067,,,6.296410901995841e-06,0.9999932646751404
12,1099,9.813735232455656e-06,0.999993085861206,,
12,1149,0.0,0.9999958276748657,,
12,1156,,,7.700225069129374e-06,0.9999933838844299
13,1199,0.0,0.9999921917915344,,
13,1245,,,6.593715625058394e-06,0.9999924898147583
14,1249,0.0,0.999994158744812,,
14,1299,0.0,0.9999966025352478,,
14,1334,,,5.9691319620469585e-06,0.9999933838844299
15,1349,9.230287105310708e-06,0.9999936819076538,,
15,1399,0.0,0.9999949932098389,,
15,1423,,,6.250863407331053e-06,0.9999929666519165
16,1449,0.0,0.9999948143959045,,
16,1499,2.082638820866123e-05,0.9999912977218628,,
16,1512,,,6.543292329297401e-06,0.999992847442627
17,1549,0.0,0.9999945163726807,,
17,1599,0.0,0.9999939203262329,,
17,1601,,,7.800677849445492e-06,0.9999929666519165
18,1649,1.2743561455863528e-05,0.9999889731407166,,
18,1690,,,6.008050604577875e-06,0.9999931454658508
19,1699,0.0,0.9999937415122986,,
19,1749,0.0,0.9999954700469971,,
19,1779,,,6.352899617922958e-06,0.9999931454658508
20,1799,0.0,0.9999903440475464,,
20,1849,1.0342972927901428e-05,0.999989926815033,,
20,1868,,,6.880427463329397e-06,0.999993085861206
21,1899,0.0,0.9999968409538269,,
21,1949,0.0,0.999991774559021,,
21,1957,,,5.600640179181937e-06,0.9999931454658508
22,1999,0.0,0.9999918937683105,,
22,2046,,,6.430766916309949e-06,0.999992847442627
23,2049,1.0424811989651062e-05,0.9999940991401672,,
23,2099,1.0772843779705e-05,0.9999925494194031,,
23,2135,,,5.8881405493593775e-06,0.9999935626983643
24,2149,0.0,0.999992847442627,,
24,2199,0.0,0.9999967217445374,,
24,2224,,,5.840402536705369e-06,0.9999929666519165
25,2249,0.0,0.9999927282333374,,
25,2299,1.1359118616383057e-05,0.9999906420707703,,
25,2313,,,7.846499102015514e-06,0.9999931454658508
26,2349,0.0,0.9999929070472717,,
26,2399,1.2391114069032483e-05,0.9999931454658508,,
26,2402,,,6.031672000972321e-06,0.9999929666519165
27,2449,0.0,0.9999944567680359,,
27,2491,,,5.977519776934059e-06,0.999993085861206
28,2499,0.0,0.999993622303009,,
28,2549,0.0,0.9999913573265076,,
28,2580,,,4.7930502660165075e-06,0.9999931454658508
29,2599,0.0,0.9999963045120239,,
29,2649,1.1797739716712385e-05,0.999993085861206,,
29,2669,,,6.764739737263881e-06,0.999993085861206
30,2699,0.0,0.9999961256980896,,
30,2749,0.0,0.9999958872795105,,
30,2758,,,5.9956309996778145e-06,0.9999932646751404
31,2799,8.665887435199693e-06,0.9999942183494568,,
31,2847,,,8.119625817926135e-06,0.9999929666519165
32,2849,0.0,0.9999964833259583,,
32,2899,0.0,0.9999963045120239,,
32,2936,,,6.704618954245234e-06,0.999993085861206
33,2949,1.055854772857856e-05,0.9999911189079285,,
33,2999,0.0,0.999992847442627,,
